query_id,ndcg,n_candidates,n_positives,is_bottom,user_id,restaurant_id,positive_item,cart_size,cart_value
mendeley_o_000195__4,0.5,7,1,False,u_04749,r_0232,i_009,4.0,1005.06
mendeley_o_000195__5,0.38685280723454163,7,1,True,u_04749,r_0232,i_114,5.0,1258.43
mendeley_o_000197__1,1.0,7,1,False,u_00548,r_0418,i_022,1.0,274.565
mendeley_o_000207__1,0.5,7,1,False,u_03379,r_0100,i_054,1.0,243.575
mendeley_o_000207__2,1.0,7,1,False,u_03379,r_0100,i_030,2.0,506.335
mendeley_o_000207__3,0.3562071871080222,7,1,True,u_03379,r_0100,i_038,3.0,757.425
mendeley_o_000215__1,1.0,7,1,False,u_00451,r_0157,i_104,1.0,239.10500000000002
mendeley_o_000215__2,0.5,7,1,False,u_00451,r_0157,i_115,2.0,502.605
mendeley_o_000215__3,0.6309297535714575,7,1,False,u_00451,r_0157,i_073,3.0,735.115
mendeley_o_000217__1,0.38685280723454163,7,1,True,u_00256,r_0479,i_067,1.0,246.08
mendeley_o_000217__2,0.6309297535714575,7,1,False,u_00256,r_0479,i_111,2.0,459.02
mendeley_o_000217__3,0.3562071871080222,7,1,True,u_00256,r_0479,i_003,3.0,704.31
mendeley_o_000217__4,1.0,7,1,False,u_00256,r_0479,i_107,4.0,958.63
mendeley_o_000219__1,0.5,7,1,False,u_03122,r_0197,i_027,1.0,262.53
mendeley_o_000219__2,1.0,7,1,False,u_03122,r_0197,i_077,2.0,502.265
mendeley_o_000223__1,0.6309297535714575,7,1,False,u_04028,r_0325,i_072,1.0,255.16500000000002
mendeley_o_000223__2,0.6309297535714575,7,1,False,u_04028,r_0325,i_034,2.0,475.40500000000003
mendeley_o_000223__3,1.0,7,1,False,u_04028,r_0325,i_089,3.0,730.595
mendeley_o_000223__4,0.43067655807339306,7,1,False,u_04028,r_0325,i_051,4.0,975.26
mendeley_o_000226__1,1.0,7,1,False,u_04447,r_0322,i_057,1.0,246.97
mendeley_o_000226__2,1.0,7,1,False,u_04447,r_0322,i_060,2.0,500.94
mendeley_o_000226__3,1.0,7,1,False,u_04447,r_0322,i_056,3.0,754.375
mendeley_o_000233__1,0.3333333333333333,7,1,True,u_01570,r_0421,i_097,1.0,268.84
mendeley_o_000233__2,0.6309297535714575,7,1,False,u_01570,r_0421,i_086,2.0,508.92999999999995
mendeley_o_000236__1,0.6309297535714575,7,1,False,u_00830,r_0163,i_099,1.0,250.78
mendeley_o_000236__2,0.6309297535714575,7,1,False,u_00830,r_0163,i_079,2.0,516.0799999999999
mendeley_o_000236__3,0.6309297535714575,7,1,False,u_00830,r_0163,i_096,3.0,769.77
mendeley_o_000236__4,0.43067655807339306,7,1,False,u_00830,r_0163,i_103,4.0,1038.4099999999999
mendeley_o_000238__1,1.0,7,1,False,u_00243,r_0119,i_062,1.0,212.94
mendeley_o_000238__2,0.6309297535714575,7,1,False,u_00243,r_0119,i_110,2.0,452.435
mendeley_o_000238__3,0.6309297535714575,7,1,False,u_00243,r_0119,i_008,3.0,716.525
mendeley_o_000238__4,0.6309297535714575,7,1,False,u_00243,r_0119,i_048,4.0,944.055
mendeley_o_000238__5,0.3333333333333333,7,1,True,u_00243,r_0119,i_065,5.0,1183.635
mendeley_o_000240__1,0.5,7,1,False,u_04688,r_0220,i_087,1.0,230.46
mendeley_o_000240__2,0.38685280723454163,7,1,True,u_04688,r_0220,i_070,2.0,491.98
mendeley_o_000240__3,0.6309297535714575,7,1,False,u_04688,r_0220,i_064,3.0,749.4
mendeley_o_000240__4,1.0,7,1,False,u_04688,r_0220,i_071,4.0,1004.565
mendeley_o_000240__5,0.3333333333333333,7,1,True,u_04688,r_0220,i_093,5.0,1236.315
mendeley_o_000241__1,1.0,7,1,False,u_02067,r_0423,i_052,1.0,233.055
mendeley_o_000261__1,0.3562071871080222,7,1,True,u_03804,r_0165,i_034,1.0,248.31
mendeley_o_000261__2,1.0,7,1,False,u_03804,r_0165,i_077,2.0,503.5
mendeley_o_000261__3,0.6309297535714575,7,1,False,u_03804,r_0165,i_013,3.0,769.66
mendeley_o_000261__4,0.5,7,1,False,u_03804,r_0165,i_067,4.0,1036.26
mendeley_o_000263__1,0.6309297535714575,7,1,False,u_00204,r_0035,i_078,1.0,249.88
mendeley_o_000263__2,0.3333333333333333,7,1,True,u_00204,r_0035,i_101,2.0,514.345
mendeley_o_000263__3,1.0,7,1,False,u_00204,r_0035,i_073,3.0,752.44
mendeley_o_000263__4,1.0,7,1,False,u_00204,r_0035,i_023,4.0,1023.69
mendeley_o_000263__5,0.6309297535714575,7,1,False,u_00204,r_0035,i_105,5.0,1256.7450000000001
mendeley_o_000268__1,0.43067655807339306,7,1,False,u_04318,r_0028,i_029,1.0,265.37
mendeley_o_000268__2,0.6309297535714575,7,1,False,u_04318,r_0028,i_056,2.0,490.11
mendeley_o_000268__3,1.0,7,1,False,u_04318,r_0028,i_041,3.0,756.1
mendeley_o_000273__1,0.5,7,1,False,u_00054,r_0244,i_070,1.0,258.755
mendeley_o_000273__2,0.38685280723454163,7,1,True,u_00054,r_0244,i_080,2.0,516.175
mendeley_o_000284__1,0.6309297535714575,7,1,False,u_02588,r_0280,i_011,1.0,218.14
mendeley_o_000284__2,1.0,7,1,False,u_02588,r_0280,i_087,2.0,466.45
mendeley_o_000284__3,1.0,7,1,False,u_02588,r_0280,i_083,3.0,727.97
mendeley_o_000284__4,1.0,7,1,False,u_02588,r_0280,i_089,4.0,990.935
mendeley_o_000288__1,0.5,7,1,False,u_00136,r_0459,i_119,1.0,239.735
mendeley_o_000288__2,0.3562071871080222,7,1,True,u_00136,r_0459,i_072,2.0,480.77500000000003
mendeley_o_000288__3,1.0,7,1,False,u_00136,r_0459,i_079,3.0,701.0150000000001
mendeley_o_000288__4,0.43067655807339306,7,1,False,u_00136,r_0459,i_029,4.0,954.705
mendeley_o_000292__1,0.38685280723454163,7,1,True,u_00593,r_0282,i_080,1.0,232.51
mendeley_o_000292__2,1.0,7,1,False,u_00593,r_0282,i_097,2.0,489.365
mendeley_o_000292__3,0.5,7,1,False,u_00593,r_0282,i_011,3.0,729.455
mendeley_o_000302__1,0.6309297535714575,7,1,False,u_03039,r_0094,i_081,1.0,259.1
mendeley_o_000302__2,0.3562071871080222,7,1,True,u_03039,r_0094,i_111,2.0,506.07000000000005
mendeley_o_000302__3,1.0,7,1,False,u_03039,r_0094,i_071,3.0,751.36
mendeley_o_000302__4,1.0,7,1,False,u_03039,r_0094,i_043,4.0,983.11
mendeley_o_000313__1,0.3562071871080222,7,1,True,u_04583,r_0463,i_055,1.0,256.495
mendeley_o_000317__1,0.43067655807339306,7,1,False,u_00398,r_0428,i_045,1.0,232.51
mendeley_o_000317__2,0.3333333333333333,7,1,True,u_00398,r_0428,i_081,2.0,506.57
mendeley_o_000317__3,0.43067655807339306,7,1,False,u_00398,r_0428,i_118,3.0,753.54
mendeley_o_000317__4,0.3333333333333333,7,1,True,u_00398,r_0428,i_114,4.0,1009.82
mendeley_o_000317__5,0.38685280723454163,7,1,True,u_00398,r_0428,i_021,5.0,1257.4
mendeley_o_000321__1,0.3333333333333333,7,1,True,u_02450,r_0288,i_017,1.0,258.755
mendeley_o_000321__2,0.5,7,1,False,u_02450,r_0288,i_003,2.0,523.535
mendeley_o_000321__3,0.43067655807339306,7,1,False,u_02450,r_0288,i_093,3.0,777.855
mendeley_o_000321__4,0.5,7,1,False,u_02450,r_0288,i_057,4.0,1031.025
mendeley_o_000321__5,1.0,7,1,False,u_02450,r_0288,i_028,5.0,1284.995
mendeley_o_000325__1,0.38685280723454163,7,1,True,u_00620,r_0216,i_042,1.0,230.46
mendeley_o_000332__1,0.5,7,1,False,u_03563,r_0108,i_018,1.0,262.76
mendeley_o_000332__2,0.43067655807339306,7,1,False,u_03563,r_0108,i_098,2.0,508.435
mendeley_o_000332__3,0.3333333333333333,7,1,True,u_03563,r_0108,i_001,3.0,778.225
mendeley_o_000332__4,1.0,7,1,False,u_03563,r_0108,i_054,4.0,1029.565
mendeley_o_000334__1,0.43067655807339306,7,1,False,u_01592,r_0423,i_040,1.0,237.065
mendeley_o_000334__2,1.0,7,1,False,u_01592,r_0423,i_032,2.0,486.945
mendeley_o_000334__3,1.0,7,1,False,u_01592,r_0423,i_059,3.0,714.465
mendeley_o_000334__4,0.3333333333333333,7,1,True,u_01592,r_0423,i_043,4.0,956.285
mendeley_o_000339__1,0.6309297535714575,7,1,False,u_02998,r_0195,i_029,1.0,253.37
mendeley_o_000339__2,1.0,7,1,False,u_02998,r_0195,i_030,2.0,478.11
mendeley_o_000343__1,0.43067655807339306,7,1,False,u_04519,r_0105,i_026,1.0,222.805
mendeley_o_000343__2,1.0,7,1,False,u_04519,r_0105,i_120,2.0,462.575
mendeley_o_000343__3,0.38685280723454163,7,1,True,u_04519,r_0105,i_078,3.0,713.4749999999999
mendeley_o_000344__1,0.3562071871080222,7,1,True,u_02422,r_0464,i_116,1.0,278.78
mendeley_o_000344__2,1.0,7,1,False,u_02422,r_0464,i_080,2.0,518.02
mendeley_o_000344__3,1.0,7,1,False,u_02422,r_0464,i_038,3.0,774.875
mendeley_o_000344__4,0.38685280723454163,7,1,True,u_02422,r_0464,i_048,4.0,1018.395
mendeley_o_000349__1,1.0,7,1,False,u_00553,r_0308,i_005,1.0,260.07
mendeley_o_000349__2,0.6309297535714575,7,1,False,u_00553,r_0308,i_061,2.0,503.23
mendeley_o_000349__3,1.0,7,1,False,u_00553,r_0308,i_082,3.0,768.87
mendeley_o_000349__4,1.0,7,1,False,u_00553,r_0308,i_001,4.0,1005.935
mendeley_o_000354__1,0.3562071871080222,7,1,True,u_04587,r_0465,i_004,1.0,269.79
mendeley_o_000354__2,0.43067655807339306,7,1,False,u_04587,r_0465,i_101,2.0,527.99
mendeley_o_000374__1,0.43067655807339306,7,1,False,u_04940,r_0199,i_086,1.0,262.96500000000003
mendeley_o_000374__2,1.0,7,1,False,u_04940,r_0199,i_075,2.0,506.63
mendeley_o_000378__1,0.6309297535714575,7,1,False,u_00175,r_0379,i_040,1.0,256.28000000000003
mendeley_o_000378__2,1.0,7,1,False,u_00175,r_0379,i_021,2.0,506.16
mendeley_o_000378__3,1.0,7,1,False,u_00175,r_0379,i_081,3.0,741.85
mendeley_o_000384__1,0.5,7,1,False,u_02050,r_0183,i_054,1.0,253.17000000000002
mendeley_o_000384__2,0.3562071871080222,7,1,True,u_02050,r_0183,i_036,2.0,515.9300000000001
mendeley_o_000384__3,1.0,7,1,False,u_02050,r_0183,i_075,3.0,790.495
mendeley_o_000384__4,0.6309297535714575,7,1,False,u_02050,r_0183,i_059,4.0,1042.855
mendeley_o_000410__1,0.38685280723454163,7,1,True,u_02196,r_0106,i_084,1.0,255.19
mendeley_o_000410__2,0.38685280723454163,7,1,True,u_02196,r_0106,i_016,2.0,511.695
mendeley_o_000418__1,0.5,7,1,False,u_03578,r_0411,i_017,1.0,265.64
mendeley_o_000418__2,0.3562071871080222,7,1,True,u_03578,r_0411,i_100,2.0,530.42
mendeley_o_000418__3,1.0,7,1,False,u_03578,r_0411,i_011,3.0,793.16
mendeley_o_000418__4,1.0,7,1,False,u_03578,r_0411,i_112,4.0,1041.47
mendeley_o_000420__1,0.43067655807339306,7,1,False,u_00870,r_0055,i_098,1.0,239.76999999999998
mendeley_o_000420__2,0.5,7,1,False,u_00870,r_0055,i_063,2.0,509.56
mendeley_o_000420__3,0.6309297535714575,7,1,False,u_00870,r_0055,i_053,3.0,772.0899999999999
mendeley_o_000420__4,0.5,7,1,False,u_00870,r_0055,i_088,4.0,993.77
mendeley_o_000427__1,1.0,7,1,False,u_03040,r_0263,i_030,1.0,243.575
mendeley_o_000427__2,0.3562071871080222,7,1,True,u_03040,r_0263,i_028,2.0,494.66499999999996
mendeley_o_000430__1,0.5,7,1,False,u_02728,r_0237,i_034,1.0,266.15999999999997
mendeley_o_000432__1,0.38685280723454163,7,1,True,u_01713,r_0264,i_060,1.0,275.02
mendeley_o_000438__1,0.6309297535714575,7,1,False,u_00154,r_0053,i_093,1.0,247.47
mendeley_o_000438__2,0.43067655807339306,7,1,False,u_00154,r_0053,i_070,2.0,500.64
mendeley_o_000438__3,0.43067655807339306,7,1,False,u_00154,r_0053,i_009,3.0,758.0600000000001
mendeley_o_000438__4,0.5,7,1,False,u_00154,r_0053,i_098,4.0,1011.4300000000001
mendeley_o_000453__1,0.3562071871080222,7,1,True,u_02956,r_0478,i_104,1.0,264.46500000000003
mendeley_o_000453__2,0.6309297535714575,7,1,False,u_02956,r_0478,i_042,2.0,527.965
mendeley_o_000458__1,0.6309297535714575,7,1,False,u_00683,r_0357,i_111,1.0,243.52
mendeley_o_000458__2,0.43067655807339306,7,1,False,u_00683,r_0357,i_030,2.0,488.81
mendeley_o_000458__3,0.38685280723454163,7,1,True,u_00683,r_0357,i_013,3.0,739.9
mendeley_o_000462__1,0.38685280723454163,7,1,True,u_04404,r_0459,i_085,1.0,218.14
mendeley_o_000466__1,1.0,7,1,False,u_01662,r_0124,i_059,1.0,261.91
mendeley_o_000470__1,0.6309297535714575,7,1,False,u_00404,r_0394,i_108,1.0,257.71000000000004
mendeley_o_000470__2,0.3333333333333333,7,1,True,u_00404,r_0394,i_002,2.0,489.33000000000004
mendeley_o_000470__3,1.0,7,1,False,u_00404,r_0394,i_022,3.0,728.4350000000001
mendeley_o_000470__4,0.43067655807339306,7,1,False,u_00404,r_0394,i_016,4.0,979.215
mendeley_o_000485__1,0.6309297535714575,7,1,False,u_00971,r_0127,i_055,1.0,261.91
mendeley_o_000485__2,0.38685280723454163,7,1,True,u_00971,r_0127,i_112,2.0,510.22
mendeley_o_000500__1,0.3333333333333333,7,1,True,u_01761,r_0093,i_022,1.0,253.97
mendeley_o_000500__2,0.38685280723454163,7,1,True,u_01761,r_0093,i_054,2.0,504.75
mendeley_o_000500__3,0.6309297535714575,7,1,False,u_01761,r_0093,i_059,3.0,767.51
mendeley_o_000500__4,0.6309297535714575,7,1,False,u_01761,r_0093,i_050,4.0,1009.3299999999999
mendeley_o_000503__1,0.6309297535714575,7,1,False,u_01958,r_0284,i_005,1.0,239.57999999999998
mendeley_o_000515__1,0.6309297535714575,7,1,False,u_02252,r_0251,i_046,1.0,242.51
mendeley_o_000515__2,0.5,7,1,False,u_02252,r_0251,i_104,2.0,489.98
mendeley_o_000515__3,0.6309297535714575,7,1,False,u_02252,r_0251,i_095,3.0,753.48
mendeley_o_000515__4,0.6309297535714575,7,1,False,u_02252,r_0251,i_028,4.0,1010.82
mendeley_o_000515__5,0.5,7,1,False,u_02252,r_0251,i_034,5.0,1265.135
mendeley_o_000518__1,0.6309297535714575,7,1,False,u_02003,r_0449,i_039,1.0,234.04000000000002
mendeley_o_000518__2,0.5,7,1,False,u_02003,r_0449,i_099,2.0,488.5
mendeley_o_000518__3,1.0,7,1,False,u_02003,r_0449,i_042,3.0,753.8
mendeley_o_000518__4,0.6309297535714575,7,1,False,u_02003,r_0449,i_064,4.0,1032.58
mendeley_o_000522__1,0.3333333333333333,7,1,True,u_04037,r_0293,i_116,1.0,243.16
mendeley_o_000522__2,1.0,7,1,False,u_04037,r_0293,i_010,2.0,482.4
mendeley_o_000522__3,0.43067655807339306,7,1,False,u_04037,r_0293,i_033,3.0,741.05
mendeley_o_000523__1,0.3562071871080222,7,1,True,u_03787,r_0076,i_049,1.0,259.5
mendeley_o_000523__2,1.0,7,1,False,u_03787,r_0076,i_060,2.0,517.21
mendeley_o_000523__3,0.6309297535714575,7,1,False,u_03787,r_0076,i_047,3.0,770.645
mendeley_o_000523__4,1.0,7,1,False,u_03787,r_0076,i_014,4.0,1004.6850000000001
mendeley_o_000523__5,0.5,7,1,False,u_03787,r_0076,i_054,5.0,1225.08
mendeley_o_000526__1,0.5,7,1,False,u_02706,r_0473,i_022,1.0,264.37
mendeley_o_000526__2,0.38685280723454163,7,1,True,u_02706,r_0473,i_104,2.0,515.15
mendeley_o_000526__3,0.43067655807339306,7,1,False,u_02706,r_0473,i_016,3.0,778.65
mendeley_o_000526__4,0.6309297535714575,7,1,False,u_02706,r_0473,i_039,4.0,986.57
mendeley_o_000530__1,0.3562071871080222,7,1,True,u_00380,r_0247,i_016,1.0,232.51
mendeley_o_000530__2,0.38685280723454163,7,1,True,u_00380,r_0247,i_064,2.0,440.43
mendeley_o_000532__1,0.3562071871080222,7,1,True,u_01888,r_0111,i_026,1.0,248.31
mendeley_o_000532__2,0.38685280723454163,7,1,True,u_01888,r_0111,i_053,2.0,488.08
mendeley_o_000532__3,0.43067655807339306,7,1,False,u_01888,r_0111,i_010,3.0,709.76
mendeley_o_000532__4,0.5,7,1,False,u_01888,r_0111,i_097,4.0,968.41
mendeley_o_000539__1,0.6309297535714575,7,1,False,u_00046,r_0047,i_062,1.0,251.09
mendeley_o_000539__2,0.6309297535714575,7,1,False,u_00046,r_0047,i_078,2.0,490.58500000000004
mendeley_o_000539__3,0.6309297535714575,7,1,False,u_00046,r_0047,i_074,3.0,755.0500000000001
mendeley_o_000544__1,0.6309297535714575,7,1,False,u_04498,r_0173,i_017,1.0,265.29999999999995
mendeley_o_000544__2,0.6309297535714575,7,1,False,u_04498,r_0173,i_027,2.0,530.0799999999999
mendeley_o_000544__3,1.0,7,1,False,u_04498,r_0173,i_112,3.0,769.8149999999999
mendeley_o_000550__1,0.5,7,1,False,u_01148,r_0073,i_015,1.0,240.09
mendeley_o_000550__2,1.0,7,1,False,u_01148,r_0073,i_051,2.0,486.83500000000004
mendeley_o_000550__3,0.38685280723454163,7,1,True,u_01148,r_0073,i_068,3.0,730.41
mendeley_o_000550__4,0.43067655807339306,7,1,False,u_01148,r_0073,i_030,4.0,992.32
mendeley_o_000550__5,0.43067655807339306,7,1,False,u_01148,r_0073,i_048,5.0,1243.41
mendeley_o_000552__1,1.0,7,1,False,u_00223,r_0317,i_055,1.0,247.47
mendeley_o_000552__2,0.38685280723454163,7,1,True,u_00223,r_0317,i_068,2.0,495.78
mendeley_o_000558__1,1.0,7,1,False,u_02323,r_0266,i_047,1.0,248.17
mendeley_o_000558__2,1.0,7,1,False,u_02323,r_0266,i_044,2.0,482.21000000000004
mendeley_o_000558__3,0.3562071871080222,7,1,True,u_02323,r_0266,i_103,3.0,729.64
mendeley_o_000558__4,1.0,7,1,False,u_02323,r_0266,i_098,4.0,1000.99
mendeley_o_000558__5,0.6309297535714575,7,1,False,u_02323,r_0266,i_082,5.0,1270.78
mendeley_o_000559__1,0.43067655807339306,7,1,False,u_02295,r_0278,i_099,1.0,261.52
mendeley_o_000559__2,0.43067655807339306,7,1,False,u_02295,r_0278,i_038,2.0,526.8199999999999
mendeley_o_000559__3,1.0,7,1,False,u_02295,r_0278,i_006,3.0,770.3399999999999
mendeley_o_000559__4,0.3333333333333333,7,1,True,u_02295,r_0278,i_095,4.0,1045.73
mendeley_o_000559__5,0.5,7,1,False,u_02295,r_0278,i_106,5.0,1303.07
mendeley_o_000577__1,0.6309297535714575,7,1,False,u_00537,r_0391,i_062,1.0,257.42
mendeley_o_000577__2,0.5,7,1,False,u_00537,r_0391,i_073,2.0,496.915
mendeley_o_000577__3,0.3333333333333333,7,1,True,u_00537,r_0391,i_068,3.0,768.165
mendeley_o_000577__4,0.6309297535714575,7,1,False,u_00537,r_0391,i_112,4.0,1030.075
mendeley_o_000577__5,0.43067655807339306,7,1,False,u_00537,r_0391,i_067,5.0,1286.935
mendeley_o_000589__1,0.5,7,1,False,u_03072,r_0005,i_086,1.0,207.92000000000002
mendeley_o_000589__2,1.0,7,1,False,u_03072,r_0005,i_079,2.0,451.58500000000004
mendeley_o_000589__3,0.5,7,1,False,u_03072,r_0005,i_060,3.0,705.275
mendeley_o_000589__4,0.3333333333333333,7,1,True,u_03072,r_0005,i_042,4.0,958.71
mendeley_o_000589__5,0.43067655807339306,7,1,False,u_03072,r_0005,i_080,5.0,1237.49
